right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.763;14.913;0.084;-2.614;12.182;-0.062;-1.08;10.012;-0.046;-1.164;5.693;0.816;0.0;10.351;0.0;-1.08;10.012;-0.046;2.084;15.102;-0.118;2.525;12.195;-0.356;0.132;13.352;-0.197;0.222;15.466;-0.527;0.765;14.923;0.341;2.084;15.102;-0.118;0.222;15.466;-0.527;0.172;16.328;0.973;2.525;12.195;-0.356;2.598;9.767;0.052;-2.614;12.182;-0.062;-2.746;9.764;0.631;0.0;10.351;0.0;0.004;10.991;-0.328;1.076;9.999;-0.048;0.765;5.621;-0.427;0.004;10.991;-0.328;0.132;13.352;-0.197;-0.379;14.97;0.331;-1.763;14.913;0.084;-1.164;5.693;0.816;-1.433;1.459;-1.468;0.765;5.621;-0.427;0.337;1.102;-2.132;0.0;10.351;0.0;1.076;9.999;-0.048
-1.699;14.909;0.2;-2.548;12.18;0.012;-1.023;10.009;0.065;-1.058;5.753;1.197;0.057;10.348;0.11;-1.023;10.009;0.065;2.148;15.091;0.064;2.61;12.189;-0.198;0.197;13.347;-0.06;0.295;15.464;-0.363;0.823;14.911;0.507;2.148;15.091;0.064;0.295;15.464;-0.363;0.231;16.317;1.142;2.61;12.189;-0.198;2.682;9.76;0.206;-2.548;12.18;0.012;-2.692;9.755;0.675;0.057;10.348;0.11;0.06;10.988;-0.217;1.133;9.996;0.062;0.807;5.627;-0.395;0.06;10.988;-0.217;0.197;13.347;-0.06;-0.32;14.96;0.479;-1.699;14.909;0.2;-1.058;5.753;1.197;-1.352;1.618;-1.261;0.807;5.627;-0.395;0.341;1.125;-2.136;0.057;10.348;0.11;1.133;9.996;0.062
-1.647;14.909;0.343;-2.493;12.183;0.104;-0.986;10.008;0.186;-0.952;5.835;1.595;0.094;10.347;0.23;-0.986;10.008;0.186;2.196;15.075;0.247;2.672;12.176;-0.017;0.245;13.343;0.092;0.353;15.464;-0.183;0.87;14.898;0.685;2.196;15.075;0.247;0.353;15.464;-0.183;0.286;16.305;1.328;2.672;12.176;-0.017;2.739;9.751;0.411;-2.493;12.183;0.104;-2.647;9.746;0.722;0.094;10.347;0.23;0.097;10.987;-0.098;1.17;9.995;0.179;0.841;5.636;-0.362;0.097;10.987;-0.098;0.245;13.343;0.092;-0.273;14.951;0.646;-1.647;14.909;0.343;-0.952;5.835;1.595;-1.205;1.712;-0.887;0.841;5.636;-0.362;0.344;1.15;-2.134;0.094;10.347;0.23;1.17;9.995;0.179
-1.59;14.922;0.525;-2.435;12.203;0.22;-0.943;10.025;0.338;-0.849;5.944;1.994;0.137;10.364;0.382;-0.943;10.025;0.338;2.251;15.083;0.491;2.747;12.188;0.222;0.303;13.355;0.284;0.416;15.479;0.043;0.92;14.9;0.911;2.251;15.083;0.491;0.416;15.479;0.043;0.34;16.307;1.561;2.747;12.188;0.222;2.802;9.767;0.678;-2.435;12.203;0.22;-2.605;9.751;0.772;0.137;10.364;0.382;0.14;11.003;0.055;1.213;10.011;0.331;0.878;5.667;-0.314;0.14;11.003;0.055;0.303;13.355;0.284;-0.222;14.954;0.854;-1.59;14.922;0.525;-0.849;5.944;1.994;-1.006;1.763;-0.397;0.878;5.667;-0.314;0.348;1.202;-2.129;0.137;10.364;0.382;1.213;10.011;0.331
-1.539;14.921;0.736;-2.389;12.209;0.384;-0.908;10.024;0.505;-0.762;6.04;2.377;0.172;10.363;0.548;-0.908;10.024;0.505;2.302;15.075;0.756;2.819;12.183;0.493;0.356;13.348;0.498;0.474;15.476;0.29;0.965;14.883;1.155;2.302;15.075;0.756;0.474;15.476;0.29;0.391;16.289;1.815;2.819;12.183;0.493;2.851;9.771;0.993;-2.389;12.209;0.384;-2.576;9.747;0.882;0.172;10.363;0.548;0.175;11.003;0.221;1.248;10.011;0.497;0.912;5.685;-0.263;0.175;11.003;0.221;0.356;13.348;0.498;-0.176;14.939;1.085;-1.539;14.921;0.736;-0.762;6.04;2.377;-0.777;1.686;0.311;0.912;5.685;-0.263;0.351;1.245;-2.128;0.172;10.363;0.548;1.248;10.011;0.497
-1.49;14.9;0.985;-2.349;12.199;0.567;-0.875;9.999;0.705;-0.694;6.102;2.75;0.206;10.338;0.745;-0.875;9.999;0.705;2.351;15.043;1.065;2.893;12.155;0.809;0.407;13.315;0.745;0.531;15.446;0.574;1.009;14.838;1.436;2.351;15.043;1.065;0.531;15.446;0.574;0.437;16.248;2.104;2.893;12.155;0.809;2.895;9.753;1.355;-2.349;12.199;0.567;-2.562;9.724;0.983;0.206;10.338;0.745;0.207;10.978;0.418;1.281;9.986;0.689;0.946;5.684;-0.196;0.207;10.978;0.418;0.407;13.315;0.745;-0.131;14.897;1.35;-1.49;14.9;0.985;-0.694;6.102;2.75;-0.581;1.537;1.212;0.946;5.684;-0.196;0.354;1.276;-2.128;0.206;10.338;0.745;1.281;9.986;0.689
-1.448;14.859;1.283;-2.309;12.173;0.787;-0.842;9.956;0.949;-0.607;6.145;3.145;0.238;10.295;0.979;-0.842;9.956;0.949;2.394;14.989;1.399;2.948;12.103;1.151;0.452;13.264;1.031;0.579;15.396;0.896;1.048;14.775;1.753;2.394;14.989;1.399;0.579;15.396;0.896;0.482;16.187;2.432;2.948;12.103;1.151;2.913;9.713;1.748;-2.309;12.173;0.787;-2.545;9.684;1.091;0.238;10.295;0.979;0.237;10.936;0.653;1.314;9.943;0.913;0.975;5.673;-0.112;0.237;10.936;0.653;0.452;13.264;1.031;-0.091;14.836;1.657;-1.448;14.859;1.283;-0.607;6.145;3.145;-0.362;1.423;2.214;0.975;5.673;-0.112;0.345;1.309;-2.131;0.238;10.295;0.979;1.314;9.943;0.913
-1.419;14.804;1.611;-2.274;12.129;1.045;-0.807;9.899;1.235;-0.555;6.143;3.521;0.274;10.239;1.262;-0.807;9.899;1.235;2.421;14.931;1.758;2.987;12.046;1.527;0.489;13.201;1.353;0.61;15.335;1.242;1.074;14.705;2.096;2.421;14.931;1.758;0.61;15.335;1.242;0.51;16.118;2.782;2.987;12.046;1.527;2.913;9.671;2.179;-2.274;12.129;1.045;-2.532;9.631;1.233;0.274;10.239;1.262;0.271;10.879;0.936;1.348;9.887;1.192;1.004;5.653;0.029;0.271;10.879;0.936;0.489;13.201;1.353;-0.064;14.764;1.991;-1.419;14.804;1.611;-0.555;6.143;3.521;-0.186;1.344;3.273;1.004;5.653;0.029;0.36;1.355;-2.122;0.274;10.239;1.262;1.348;9.887;1.192
-1.414;14.723;2.0;-2.255;12.058;1.371;-0.787;9.822;1.558;-0.518;6.098;3.896;0.294;10.161;1.576;-0.787;9.822;1.558;2.429;14.844;2.138;3.002;11.959;1.921;0.503;13.116;1.713;0.616;15.252;1.628;1.082;14.613;2.474;2.429;14.844;2.138;0.616;15.252;1.628;0.524;16.022;3.174;3.002;11.959;1.921;2.902;9.597;2.613;-2.255;12.058;1.371;-2.528;9.555;1.44;0.294;10.161;1.576;0.288;10.802;1.251;1.368;9.81;1.496;1.017;5.618;0.192;0.288;10.802;1.251;0.503;13.116;1.713;-0.057;14.669;2.369;-1.414;14.723;2.0;-0.518;6.098;3.896;-0.055;1.316;4.273;1.017;5.618;0.192;0.355;1.4;-2.108;0.294;10.161;1.576;1.368;9.81;1.496
-1.41;14.636;2.408;-2.235;11.981;1.72;-0.765;9.739;1.917;-0.456;6.038;4.285;0.316;10.079;1.924;-0.765;9.739;1.917;2.436;14.753;2.537;3.01;11.868;2.326;0.516;13.027;2.097;0.618;15.164;2.031;1.088;14.521;2.871;2.436;14.753;2.537;0.618;15.164;2.031;0.536;15.924;3.584;3.01;11.868;2.326;2.89;9.512;3.038;-2.235;11.981;1.72;-2.523;9.479;1.673;0.316;10.079;1.924;0.307;10.72;1.6;1.39;9.728;1.833;1.026;5.58;0.396;0.307;10.72;1.6;0.516;13.027;2.097;-0.051;14.572;2.769;-1.41;14.636;2.408;-0.456;6.038;4.285;0.11;1.332;5.153;1.026;5.58;0.396;0.351;1.465;-2.078;0.316;10.079;1.924;1.39;9.728;1.833
