right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.818;14.901;0.135;-2.652;12.162;0.06;-1.08;10.01;-0.044;-1.068;5.727;0.987;0.0;10.351;0.0;-1.08;10.01;-0.044;2.048;15.123;-0.033;2.669;12.244;-0.185;0.132;13.346;-0.16;0.189;15.459;-0.502;0.717;14.934;0.385;2.048;15.123;-0.033;0.189;15.459;-0.502;0.287;16.33;0.99;2.669;12.244;-0.185;2.618;9.854;0.409;-2.652;12.162;0.06;-2.831;9.697;0.548;0.0;10.351;0.0;0.003;10.988;-0.333;1.077;10.0;-0.044;0.741;5.635;-0.526;0.003;10.988;-0.333;0.132;13.346;-0.16;-0.427;14.957;0.341;-1.818;14.901;0.135;-1.068;5.727;0.987;-1.317;1.591;-1.472;0.741;5.635;-0.526;0.344;1.165;-2.362;0.0;10.351;0.0;1.077;10.0;-0.044
-1.767;14.9;0.287;-2.601;12.163;0.166;-1.041;10.01;0.094;-0.958;5.814;1.43;0.038;10.351;0.138;-1.041;10.01;0.094;2.1;15.113;0.172;2.736;12.238;0.0;0.18;13.344;0.004;0.245;15.46;-0.314;0.763;14.924;0.573;2.1;15.113;0.172;0.245;15.46;-0.314;0.336;16.322;1.184;2.736;12.238;0.0;2.679;9.847;0.59;-2.601;12.163;0.166;-2.795;9.694;0.625;0.038;10.351;0.138;0.041;10.988;-0.196;1.115;10.001;0.093;0.777;5.646;-0.479;0.041;10.988;-0.196;0.18;13.344;0.004;-0.38;14.951;0.518;-1.767;14.9;0.287;-0.958;5.814;1.43;-1.162;1.713;-1.093;0.777;5.646;-0.479;0.347;1.193;-2.348;0.038;10.351;0.138;1.115;10.001;0.093
-1.717;14.908;0.483;-2.55;12.173;0.299;-1.007;10.019;0.262;-0.868;5.923;1.876;0.073;10.36;0.307;-1.007;10.019;0.262;2.15;15.113;0.41;2.803;12.242;0.233;0.227;13.349;0.206;0.3;15.469;-0.087;0.81;14.921;0.797;2.15;15.113;0.41;0.3;15.469;-0.087;0.389;16.32;1.417;2.803;12.242;0.233;2.74;9.854;0.834;-2.55;12.173;0.299;-2.763;9.697;0.706;0.073;10.36;0.307;0.076;10.997;-0.027;1.149;10.009;0.264;0.807;5.673;-0.426;0.076;10.997;-0.027;0.227;13.349;0.206;-0.332;14.951;0.734;-1.717;14.908;0.483;-0.868;5.923;1.876;-0.97;1.748;-0.527;0.807;5.673;-0.426;0.341;1.249;-2.357;0.073;10.36;0.307;1.149;10.009;0.264
-1.669;14.903;0.703;-2.496;12.172;0.453;-0.975;10.017;0.447;-0.813;6.024;2.299;0.104;10.358;0.496;-0.975;10.017;0.447;2.198;15.1;0.676;2.863;12.231;0.502;0.272;13.342;0.431;0.352;15.464;0.164;0.854;14.905;1.045;2.198;15.1;0.676;0.352;15.464;0.164;0.44;16.311;1.67;2.863;12.231;0.502;2.785;9.848;1.12;-2.496;12.172;0.453;-2.728;9.688;0.796;0.104;10.358;0.496;0.109;10.994;0.161;1.181;10.007;0.457;0.838;5.691;-0.354;0.109;10.994;0.161;0.272;13.342;0.431;-0.288;14.939;0.973;-1.669;14.903;0.703;-0.813;6.024;2.299;-0.773;1.671;0.232;0.838;5.691;-0.354;0.344;1.302;-2.354;0.104;10.358;0.496;1.181;10.007;0.457
-1.634;14.878;0.972;-2.454;12.153;0.648;-0.945;9.998;0.655;-0.77;6.117;2.731;0.134;10.339;0.704;-0.945;9.998;0.655;2.233;15.074;0.971;2.915;12.209;0.802;0.309;13.316;0.688;0.387;15.442;0.452;0.886;14.87;1.327;2.233;15.074;0.971;0.387;15.442;0.452;0.475;16.278;1.965;2.915;12.209;0.802;2.82;9.834;1.447;-2.454;12.153;0.648;-2.705;9.66;0.91;0.134;10.339;0.704;0.139;10.975;0.37;1.211;9.987;0.666;0.864;5.696;-0.265;0.139;10.975;0.37;0.309;13.316;0.688;-0.255;14.904;1.252;-1.634;14.878;0.972;-0.77;6.117;2.731;-0.612;1.549;1.204;0.864;5.696;-0.265;0.344;1.349;-2.348;0.134;10.339;0.704;1.211;9.987;0.666
-1.605;14.819;1.278;-2.414;12.101;0.878;-0.915;9.943;0.911;-0.743;6.139;3.124;0.165;10.284;0.959;-0.915;9.943;0.911;2.263;15.018;1.301;2.958;12.156;1.135;0.342;13.255;0.985;0.415;15.384;0.775;0.914;14.803;1.644;2.263;15.018;1.301;0.415;15.384;0.775;0.502;16.212;2.292;2.958;12.156;1.135;2.84;9.789;1.806;-2.414;12.101;0.878;-2.685;9.602;1.052;0.165;10.284;0.959;0.169;10.92;0.625;1.241;9.933;0.92;0.888;5.673;-0.143;0.169;10.92;0.625;0.342;13.255;0.985;-0.227;14.835;1.567;-1.605;14.819;1.278;-0.743;6.139;3.124;-0.482;1.405;2.261;0.888;5.673;-0.143;0.344;1.385;-2.34;0.165;10.284;0.959;1.241;9.933;0.92
-1.584;14.739;1.618;-2.381;12.029;1.141;-0.889;9.869;1.19;-0.716;6.127;3.507;0.191;10.21;1.234;-0.889;9.869;1.19;2.285;14.941;1.661;2.993;12.083;1.483;0.369;13.174;1.306;0.434;15.306;1.127;0.935;14.714;1.988;2.285;14.941;1.661;0.434;15.306;1.127;0.521;16.123;2.65;2.993;12.083;1.483;2.853;9.72;2.163;-2.381;12.029;1.141;-2.669;9.528;1.22;0.191;10.21;1.234;0.194;10.847;0.901;1.267;9.859;1.191;0.906;5.633;0.003;0.194;10.847;0.901;0.369;13.174;1.306;-0.207;14.743;1.91;-1.584;14.739;1.618;-0.716;6.127;3.507;-0.364;1.323;3.388;0.906;5.633;0.003;0.343;1.417;-2.327;0.191;10.21;1.234;1.267;9.859;1.191
-1.565;14.642;2.017;-2.342;11.942;1.455;-0.863;9.778;1.552;-0.673;6.075;3.93;0.217;10.119;1.588;-0.863;9.778;1.552;2.304;14.848;2.092;3.018;11.993;1.897;0.393;13.076;1.703;0.451;15.21;1.544;0.951;14.612;2.4;2.304;14.848;2.092;0.451;15.21;1.544;0.532;16.021;3.07;3.018;11.993;1.897;2.857;9.629;2.573;-2.342;11.942;1.455;-2.645;9.442;1.43;0.217;10.119;1.588;0.217;10.756;1.256;1.293;9.768;1.535;0.919;5.585;0.205;0.217;10.756;1.256;0.393;13.076;1.703;-0.191;14.637;2.32;-1.565;14.642;2.017;-0.673;6.075;3.93;-0.245;1.303;4.444;0.919;5.585;0.205;0.341;1.479;-2.308;0.217;10.119;1.588;1.293;9.768;1.535
-1.559;14.55;2.435;-2.309;11.858;1.807;-0.846;9.696;1.938;-0.62;6.011;4.34;0.235;10.038;1.962;-0.846;9.696;1.938;2.311;14.762;2.526;3.027;11.908;2.316;0.405;12.988;2.115;0.453;15.124;1.972;0.956;14.522;2.824;2.311;14.762;2.526;0.453;15.124;1.972;0.531;15.927;3.503;3.027;11.908;2.316;2.859;9.541;2.979;-2.309;11.858;1.807;-2.62;9.361;1.691;0.235;10.038;1.962;0.231;10.676;1.632;1.31;9.687;1.894;0.93;5.544;0.447;0.231;10.676;1.632;0.405;12.988;2.115;-0.185;14.542;2.744;-1.559;14.55;2.435;-0.62;6.011;4.34;-0.136;1.297;5.217;0.93;5.544;0.447;0.351;1.571;-2.272;0.235;10.038;1.962;1.31;9.687;1.894
-1.566;14.478;2.893;-2.288;11.794;2.2;-0.837;9.631;2.385;-0.557;5.918;4.738;0.243;9.973;2.393;-0.837;9.631;2.385;2.302;14.695;2.982;3.017;11.844;2.737;0.402;12.921;2.569;0.439;15.057;2.434;0.948;14.455;3.282;2.302;14.695;2.982;0.439;15.057;2.434;0.516;15.851;3.97;3.017;11.844;2.737;2.861;9.468;3.369;-2.288;11.794;2.2;-2.606;9.304;1.996;0.243;9.973;2.393;0.234;10.613;2.066;1.318;9.623;2.307;0.935;5.513;0.769;0.234;10.613;2.066;0.402;12.921;2.569;-0.194;14.47;3.206;-1.566;14.478;2.893;-0.557;5.918;4.738;-0.029;1.209;5.615;0.935;5.513;0.769;0.373;1.723;-2.202;0.243;9.973;2.393;1.318;9.623;2.307
