right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.422;14.549;2.336;-2.176;11.902;1.543;-0.753;9.674;1.828;-0.603;6.002;4.256;0.318;10.041;1.876;-0.753;9.674;1.828;2.445;14.686;2.537;3.099;11.814;2.365;0.515;12.984;2.045;0.614;15.121;1.953;1.078;14.489;2.806;2.445;14.686;2.537;0.614;15.121;1.953;0.652;15.915;3.49;3.099;11.814;2.365;2.895;9.486;3.143;-2.176;11.902;1.543;-2.685;9.473;1.114;0.318;10.041;1.876;0.306;10.679;1.544;1.403;9.717;1.833;1.049;5.557;0.429;0.306;10.679;1.544;0.515;12.984;2.045;-0.06;14.536;2.692;-1.422;14.549;2.336;-0.603;6.002;4.256;-0.195;1.22;4.688;1.049;5.557;0.429;0.54;1.587;-2.309;0.318;10.041;1.876;1.403;9.717;1.833
-1.446;14.498;2.775;-2.171;11.864;1.917;-0.781;9.644;2.277;-0.562;5.911;4.605;0.296;9.994;2.305;-0.781;9.644;2.277;2.42;14.636;2.993;3.069;11.764;2.824;0.497;12.939;2.494;0.587;15.076;2.408;1.051;14.444;3.26;2.42;14.636;2.993;0.587;15.076;2.408;0.625;15.868;3.947;3.069;11.764;2.824;2.865;9.441;3.618;-2.171;11.864;1.917;-2.68;9.452;1.397;0.296;9.994;2.305;0.287;10.636;1.983;1.375;9.654;2.234;1.014;5.506;0.795;0.287;10.636;1.983;0.497;12.939;2.494;-0.087;14.487;3.143;-1.446;14.498;2.775;-0.562;5.911;4.605;-0.132;1.123;4.944;1.014;5.506;0.795;0.534;1.734;-2.213;0.296;9.994;2.305;1.375;9.654;2.234
-1.483;14.498;3.274;-2.175;11.868;2.374;-0.815;9.657;2.799;-0.531;5.811;4.927;0.267;9.995;2.806;-0.815;9.657;2.799;2.381;14.642;3.478;3.016;11.768;3.285;0.465;12.945;2.997;0.541;15.083;2.904;1.013;14.456;3.756;2.381;14.642;3.478;0.541;15.083;2.904;0.59;15.876;4.441;3.016;11.768;3.285;2.821;9.439;4.065;-2.175;11.868;2.374;-2.671;9.468;1.791;0.267;9.995;2.806;0.257;10.641;2.491;1.339;9.644;2.705;1.003;5.502;1.245;0.257;10.641;2.491;0.465;12.945;2.997;-0.125;14.492;3.645;-1.483;14.498;3.274;-0.531;5.811;4.927;-0.098;1.011;4.949;1.003;5.502;1.245;0.584;2.015;-2.099;0.267;9.995;2.806;1.339;9.644;2.705
-1.523;14.548;3.789;-2.18;11.91;2.886;-0.837;9.72;3.363;-0.517;5.772;5.291;0.248;10.046;3.362;-0.837;9.72;3.363;2.34;14.706;3.989;2.973;11.835;3.752;0.436;13.002;3.529;0.496;15.139;3.417;0.973;14.524;4.274;2.34;14.706;3.989;0.496;15.139;3.417;0.546;15.941;4.95;2.973;11.835;3.752;2.809;9.49;4.487;-2.18;11.91;2.886;-2.656;9.511;2.285;0.248;10.046;3.362;0.243;10.692;3.046;1.316;9.683;3.254;0.997;5.505;1.896;0.243;10.692;3.046;0.436;13.002;3.529;-0.166;14.55;4.163;-1.523;14.548;3.789;-0.517;5.772;5.291;-0.086;0.981;5.017;0.997;5.505;1.896;0.7;2.412;-1.827;0.248;10.046;3.362;1.316;9.683;3.254
-1.563;14.604;4.321;-2.206;11.953;3.45;-0.861;9.787;3.92;-0.521;5.729;5.598;0.227;10.101;3.914;-0.861;9.787;3.92;2.302;14.77;4.469;2.926;11.902;4.176;0.404;13.061;4.049;0.449;15.197;3.917;0.939;14.593;4.774;2.302;14.77;4.469;0.449;15.197;3.917;0.514;16.006;5.445;2.926;11.902;4.176;2.796;9.538;4.855;-2.206;11.953;3.45;-2.663;9.543;2.878;0.227;10.101;3.914;0.229;10.743;3.593;1.291;9.725;3.807;0.947;5.475;2.7;0.229;10.743;3.593;0.404;13.061;4.049;-0.201;14.61;4.675;-1.563;14.604;4.321;-0.521;5.729;5.598;-0.083;0.961;5.049;0.947;5.475;2.7;0.714;2.777;-1.322;0.227;10.101;3.914;1.291;9.725;3.807
-1.592;14.676;4.873;-2.224;11.998;4.078;-0.853;9.864;4.496;-0.53;5.691;5.866;0.235;10.181;4.494;-0.853;9.864;4.496;2.274;14.862;4.941;2.895;12.002;4.576;0.386;13.144;4.579;0.408;15.279;4.424;0.919;14.688;5.279;2.274;14.862;4.941;0.408;15.279;4.424;0.493;16.09;5.95;2.895;12.002;4.576;2.815;9.617;5.186;-2.224;11.998;4.078;-2.657;9.566;3.583;0.235;10.181;4.494;0.239;10.817;4.161;1.301;9.805;4.405;1.001;5.465;3.718;0.239;10.817;4.161;0.386;13.144;4.579;-0.223;14.694;5.199;-1.592;14.676;4.873;-0.53;5.691;5.866;-0.075;0.962;5.059;1.001;5.465;3.718;0.871;3.151;-0.542;0.235;10.181;4.494;1.301;9.805;4.405
-1.617;14.758;5.419;-2.259;12.046;4.758;-0.845;9.943;5.04;-0.544;5.671;6.071;0.238;10.275;5.031;-0.845;9.943;5.04;2.247;14.955;5.324;2.847;12.096;4.913;0.36;13.237;5.062;0.362;15.37;4.884;0.908;14.792;5.726;2.247;14.955;5.324;0.362;15.37;4.884;0.493;16.178;6.408;2.847;12.096;4.913;2.816;9.704;5.501;-2.259;12.046;4.758;-2.672;9.587;4.399;0.238;10.275;5.031;0.233;10.903;4.682;1.309;9.913;4.953;1.127;5.513;4.867;0.233;10.903;4.682;0.36;13.237;5.062;-0.236;14.79;5.688;-1.617;14.758;5.419;-0.544;5.671;6.071;-0.071;0.983;5.061;1.127;5.513;4.867;0.997;3.305;0.552;0.238;10.275;5.031;1.309;9.913;4.953
-1.623;14.859;5.955;-2.292;12.12;5.448;-0.844;10.03;5.536;-0.575;5.685;6.207;0.235;10.376;5.528;-0.844;10.03;5.536;2.233;15.056;5.705;2.822;12.205;5.226;0.345;13.336;5.532;0.336;15.468;5.341;0.913;14.896;6.166;2.233;15.056;5.705;0.336;15.468;5.341;0.514;16.268;6.865;2.822;12.205;5.226;2.837;9.805;5.781;-2.292;12.12;5.448;-2.694;9.642;5.247;0.235;10.376;5.528;0.223;10.999;5.169;1.311;10.027;5.46;1.207;5.65;5.942;0.223;10.999;5.169;0.345;13.336;5.532;-0.232;14.892;6.169;-1.623;14.859;5.955;-0.575;5.685;6.207;-0.081;1.032;5.054;1.207;5.65;5.942;1.053;3.226;1.744;0.235;10.376;5.528;1.311;10.027;5.46
-1.611;14.954;6.48;-2.307;12.194;6.163;-0.814;10.105;6.008;-0.585;5.717;6.31;0.261;10.465;6.004;-0.814;10.105;6.008;2.236;15.149;6.121;2.818;12.309;5.575;0.35;13.423;6.008;0.332;15.555;5.81;0.93;14.986;6.623;2.236;15.149;6.121;0.332;15.555;5.81;0.54;16.346;7.334;2.818;12.309;5.575;2.871;9.901;6.089;-2.307;12.194;6.163;-2.683;9.703;6.172;0.261;10.465;6.004;0.243;11.085;5.642;1.342;10.129;5.943;1.328;5.84;6.947;0.243;11.085;5.642;0.35;13.423;6.008;-0.214;14.98;6.654;-1.611;14.954;6.48;-0.585;5.717;6.31;-0.082;1.095;5.042;1.328;5.84;6.947;1.149;2.905;3.091;0.261;10.465;6.004;1.342;10.129;5.943
-1.593;15.014;6.994;-2.323;12.247;6.88;-0.809;10.139;6.472;-0.606;5.739;6.426;0.263;10.505;6.463;-0.809;10.139;6.472;2.244;15.184;6.545;2.815;12.357;5.924;0.349;13.461;6.478;0.338;15.592;6.277;0.951;15.022;7.078;2.244;15.184;6.545;0.338;15.592;6.277;0.58;16.378;7.8;2.815;12.357;5.924;2.896;9.937;6.379;-2.323;12.247;6.88;-2.658;9.762;7.123;0.263;10.505;6.463;0.241;11.125;6.101;1.345;10.175;6.399;1.44;6.033;7.897;0.241;11.125;6.101;0.349;13.461;6.478;-0.192;15.021;7.134;-1.593;15.014;6.994;-0.606;5.739;6.426;-0.098;1.151;5.041;1.44;6.033;7.897;1.176;2.299;4.814;0.263;10.505;6.463;1.345;10.175;6.399
