right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.84;14.981;0.039;-2.699;12.251;-0.075;-1.066;9.969;-0.033;-0.864;5.662;0.868;0.0;10.351;0.0;-1.066;9.969;-0.033;2.028;15.084;-0.045;2.906;12.28;-0.306;0.044;13.342;-0.105;0.147;15.431;-0.56;0.682;14.939;0.341;2.028;15.084;-0.045;0.147;15.431;-0.56;0.313;16.368;0.885;2.906;12.28;-0.306;2.632;9.911;0.309;-2.699;12.251;-0.075;-2.854;9.801;0.49;0.0;10.351;0.0;-0.024;10.986;-0.337;1.089;10.041;-0.052;0.708;5.706;-0.732;-0.024;10.986;-0.337;0.044;13.342;-0.105;-0.461;14.991;0.322;-1.84;14.981;0.039;-0.864;5.662;0.868;-0.897;1.535;-1.619;0.708;5.706;-0.732;0.154;1.169;-2.353;0.0;10.351;0.0;1.089;10.041;-0.052
-1.81;14.984;0.217;-2.671;12.258;0.041;-1.052;9.989;0.09;-0.801;5.749;1.255;0.019;10.358;0.114;-1.052;9.989;0.09;2.058;15.081;0.142;2.922;12.279;-0.173;0.073;13.346;0.048;0.178;15.444;-0.367;0.711;14.935;0.526;2.058;15.081;0.142;0.178;15.444;-0.367;0.338;16.352;1.097;2.922;12.279;-0.173;2.639;9.902;0.413;-2.671;12.258;0.041;-2.838;9.796;0.548;0.019;10.358;0.114;-0.001;10.994;-0.22;1.103;10.036;0.051;0.719;5.708;-0.676;-0.001;10.994;-0.22;0.073;13.346;0.048;-0.432;14.988;0.505;-1.81;14.984;0.217;-0.801;5.749;1.255;-0.86;1.626;-1.239;0.719;5.708;-0.676;0.155;1.195;-2.355;0.019;10.358;0.114;1.103;10.036;0.051
-1.771;14.975;0.437;-2.64;12.257;0.191;-1.042;9.999;0.224;-0.747;5.842;1.65;0.034;10.355;0.243;-1.042;9.999;0.224;2.094;15.066;0.367;2.949;12.265;0.016;0.108;13.338;0.234;0.218;15.445;-0.13;0.748;14.913;0.751;2.094;15.066;0.367;0.218;15.445;-0.13;0.37;16.325;1.352;2.949;12.265;0.016;2.649;9.892;0.605;-2.64;12.257;0.191;-2.825;9.784;0.632;0.034;10.355;0.243;0.02;10.993;-0.087;1.114;10.019;0.169;0.726;5.701;-0.61;0.02;10.993;-0.087;0.108;13.338;0.234;-0.394;14.97;0.73;-1.771;14.975;0.437;-0.747;5.842;1.65;-0.788;1.618;-0.669;0.726;5.701;-0.61;0.151;1.214;-2.355;0.034;10.355;0.243;1.114;10.019;0.169
-1.738;14.967;0.706;-2.616;12.261;0.369;-1.032;10.01;0.401;-0.697;5.939;2.05;0.048;10.352;0.421;-1.032;10.01;0.401;2.124;15.061;0.635;2.977;12.263;0.258;0.143;13.331;0.475;0.25;15.445;0.153;0.781;14.897;1.024;2.124;15.061;0.635;0.25;15.445;0.153;0.389;16.301;1.651;2.977;12.263;0.258;2.659;9.898;0.872;-2.616;12.261;0.369;-2.827;9.775;0.717;0.048;10.352;0.421;0.041;10.995;0.1;1.124;10.004;0.341;0.731;5.701;-0.513;0.041;10.995;0.1;0.143;13.331;0.475;-0.362;14.951;1.003;-1.738;14.967;0.706;-0.697;5.939;2.05;-0.64;1.564;0.031;0.731;5.701;-0.513;0.149;1.253;-2.353;0.048;10.352;0.421;1.124;10.004;0.341
-1.705;14.924;1.017;-2.596;12.237;0.584;-1.021;9.989;0.6;-0.662;6.02;2.476;0.063;10.32;0.62;-1.021;9.989;0.6;2.153;15.032;0.918;3.016;12.239;0.525;0.18;13.293;0.738;0.278;15.414;0.462;0.816;14.848;1.318;2.153;15.032;0.918;0.278;15.414;0.462;0.413;16.244;1.974;3.016;12.239;0.525;2.685;9.889;1.184;-2.596;12.237;0.584;-2.834;9.74;0.823;0.063;10.32;0.62;0.061;10.967;0.307;1.134;9.963;0.531;0.729;5.676;-0.399;0.061;10.967;0.307;0.18;13.293;0.738;-0.327;14.899;1.304;-1.705;14.924;1.017;-0.662;6.02;2.476;-0.486;1.442;0.982;0.729;5.676;-0.399;0.129;1.273;-2.34;0.063;10.32;0.62;1.134;9.963;0.531
-1.688;14.862;1.341;-2.584;12.191;0.83;-1.014;9.945;0.821;-0.655;6.069;2.882;0.071;10.271;0.843;-1.014;9.945;0.821;2.164;14.982;1.202;3.032;12.191;0.809;0.2;13.237;1.018;0.289;15.363;0.782;0.835;14.783;1.623;2.164;14.982;1.202;0.289;15.363;0.782;0.425;16.167;2.309;3.032;12.191;0.809;2.698;9.859;1.531;-2.584;12.191;0.83;-2.844;9.689;0.973;0.071;10.271;0.843;0.071;10.921;0.538;1.141;9.909;0.746;0.736;5.641;-0.268;0.071;10.921;0.538;0.2;13.237;1.018;-0.308;14.83;1.62;-1.688;14.862;1.341;-0.655;6.069;2.882;-0.36;1.334;2.039;0.736;5.641;-0.268;0.145;1.296;-2.338;0.071;10.271;0.843;1.141;9.909;0.746
-1.666;14.79;1.693;-2.575;12.135;1.122;-1.0;9.883;1.076;-0.651;6.081;3.272;0.086;10.206;1.099;-1.0;9.883;1.076;2.181;14.914;1.544;3.059;12.125;1.155;0.223;13.165;1.338;0.308;15.295;1.141;0.857;14.701;1.97;2.181;14.914;1.544;0.308;15.295;1.141;0.44;16.073;2.682;3.059;12.125;1.155;2.727;9.808;1.922;-2.575;12.135;1.122;-2.864;9.633;1.191;0.086;10.206;1.099;0.087;10.861;0.806;1.154;9.843;0.992;0.741;5.601;-0.123;0.087;10.861;0.806;0.223;13.165;1.338;-0.287;14.746;1.97;-1.666;14.79;1.693;-0.651;6.081;3.272;-0.232;1.283;3.131;0.741;5.601;-0.123;0.139;1.329;-2.336;0.086;10.206;1.099;1.154;9.843;0.992
-1.649;14.702;2.08;-2.553;12.062;1.434;-0.986;9.803;1.396;-0.645;6.047;3.671;0.101;10.123;1.422;-0.986;9.803;1.396;2.197;14.82;1.946;3.065;12.029;1.552;0.242;13.078;1.711;0.326;15.21;1.547;0.872;14.604;2.369;2.197;14.82;1.946;0.326;15.21;1.547;0.45;15.967;3.098;3.065;12.029;1.552;2.73;9.716;2.332;-2.553;12.062;1.434;-2.857;9.562;1.42;0.101;10.123;1.422;0.103;10.783;1.139;1.168;9.759;1.308;0.743;5.55;0.082;0.103;10.783;1.139;0.242;13.078;1.711;-0.272;14.648;2.364;-1.649;14.702;2.08;-0.645;6.047;3.671;-0.114;1.279;4.126;0.743;5.55;0.082;0.142;1.38;-2.319;0.101;10.123;1.422;1.168;9.759;1.308
-1.643;14.61;2.498;-2.531;11.981;1.79;-0.973;9.723;1.776;-0.62;5.99;4.089;0.115;10.038;1.802;-0.973;9.723;1.776;2.204;14.727;2.393;3.063;11.934;1.987;0.255;12.989;2.128;0.334;15.123;1.986;0.876;14.509;2.806;2.204;14.727;2.393;0.334;15.123;1.986;0.448;15.865;3.545;3.063;11.934;1.987;2.743;9.615;2.754;-2.531;11.981;1.79;-2.846;9.483;1.701;0.115;10.038;1.802;0.118;10.702;1.526;1.181;9.673;1.681;0.743;5.493;0.361;0.118;10.702;1.526;0.255;12.989;2.128;-0.268;14.551;2.794;-1.643;14.61;2.498;-0.62;5.99;4.089;-0.005;1.286;4.934;0.743;5.493;0.361;0.166;1.461;-2.27;0.115;10.038;1.802;1.181;9.673;1.681
-1.642;14.539;2.951;-2.503;11.921;2.173;-0.964;9.672;2.202;-0.597;5.912;4.467;0.126;9.981;2.22;-0.964;9.672;2.202;2.207;14.653;2.885;3.051;11.861;2.451;0.263;12.926;2.581;0.337;15.062;2.465;0.873;14.441;3.282;2.207;14.653;2.885;0.337;15.062;2.465;0.44;15.789;4.032;3.051;11.861;2.451;2.756;9.523;3.171;-2.503;11.921;2.173;-2.817;9.427;2.004;0.126;9.981;2.22;0.13;10.647;1.951;1.188;9.609;2.083;0.743;5.458;0.681;0.13;10.647;1.951;0.263;12.926;2.581;-0.27;14.479;3.26;-1.642;14.539;2.951;-0.597;5.912;4.467;0.05;1.221;5.362;0.743;5.458;0.681;0.199;1.61;-2.22;0.126;9.981;2.22;1.188;9.609;2.083
