right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.522;14.497;3.346;-2.354;11.909;2.446;-0.857;9.579;2.635;-0.386;5.852;4.935;0.23;9.895;2.662;-0.857;9.579;2.635;2.334;14.546;3.431;3.245;11.752;3.173;0.422;12.839;3.02;0.469;14.977;2.931;0.979;14.354;3.763;2.334;14.546;3.431;0.469;14.977;2.931;0.527;15.699;4.503;3.245;11.752;3.173;3.075;9.44;4.005;-2.354;11.909;2.446;-2.728;9.441;2.107;0.23;9.895;2.662;0.232;10.562;2.394;1.296;9.532;2.533;0.78;5.41;1.068;0.232;10.562;2.394;0.422;12.839;3.02;-0.163;14.376;3.693;-1.522;14.497;3.346;-0.386;5.852;4.935;0.298;1.138;5.664;0.78;5.41;1.068;0.194;1.813;-2.13;0.23;9.895;2.662;1.296;9.532;2.533
-1.506;14.492;3.941;-2.307;11.913;2.987;-0.839;9.611;3.213;-0.328;5.813;5.386;0.253;9.913;3.225;-0.839;9.611;3.213;2.348;14.555;4.037;3.234;11.757;3.738;0.447;12.851;3.609;0.483;14.991;3.542;0.994;14.362;4.37;2.348;14.555;4.037;0.483;14.991;3.542;0.534;15.709;5.116;3.234;11.757;3.738;3.073;9.433;4.539;-2.307;11.913;2.987;-2.675;9.455;2.58;0.253;9.913;3.225;0.259;10.581;2.961;1.312;9.537;3.078;0.769;5.419;1.612;0.259;10.581;2.961;0.447;12.851;3.609;-0.148;14.379;4.296;-1.506;14.492;3.941;-0.328;5.813;5.386;0.335;1.055;5.755;0.769;5.419;1.612;0.22;2.17;-1.946;0.253;9.913;3.225;1.312;9.537;3.078
-1.503;14.514;4.544;-2.276;11.934;3.57;-0.805;9.663;3.796;-0.272;5.779;5.804;0.29;9.956;3.797;-0.805;9.663;3.796;2.352;14.609;4.62;3.223;11.812;4.276;0.466;12.893;4.195;0.48;15.033;4.135;1.0;14.406;4.958;2.352;14.609;4.62;0.48;15.033;4.135;0.534;15.757;5.706;3.223;11.812;4.276;3.089;9.472;5.035;-2.276;11.934;3.57;-2.626;9.478;3.13;0.29;9.956;3.797;0.3;10.625;3.535;1.344;9.57;3.636;0.803;5.434;2.22;0.3;10.625;3.535;0.466;12.893;4.195;-0.142;14.412;4.889;-1.503;14.514;4.544;-0.272;5.779;5.804;0.351;1.001;5.834;0.803;5.434;2.22;0.308;2.535;-1.635;0.29;9.956;3.797;1.344;9.57;3.636
-1.482;14.585;5.161;-2.239;11.991;4.212;-0.765;9.755;4.388;-0.236;5.756;6.157;0.332;10.041;4.392;-0.765;9.755;4.388;2.375;14.696;5.203;3.211;11.901;4.769;0.495;12.979;4.788;0.497;15.119;4.732;1.026;14.493;5.551;2.375;14.696;5.203;0.497;15.119;4.732;0.556;15.85;6.299;3.211;11.901;4.769;3.104;9.532;5.437;-2.239;11.991;4.212;-2.57;9.53;3.789;0.332;10.041;4.392;0.346;10.709;4.127;1.384;9.65;4.236;0.833;5.452;3.021;0.346;10.709;4.127;0.495;12.979;4.788;-0.117;14.493;5.489;-1.482;14.585;5.161;-0.236;5.756;6.157;0.365;0.984;5.862;0.833;5.452;3.021;0.455;2.955;-1.118;0.332;10.041;4.392;1.384;9.65;4.236
-1.461;14.688;5.759;-2.212;12.061;4.902;-0.716;9.861;4.971;-0.215;5.741;6.446;0.378;10.158;4.984;-0.716;9.861;4.971;2.399;14.814;5.702;3.18;12.019;5.173;0.519;13.097;5.343;0.509;15.237;5.277;1.059;14.618;6.087;2.399;14.814;5.702;0.509;15.237;5.277;0.594;15.975;6.84;3.18;12.019;5.173;3.102;9.627;5.757;-2.212;12.061;4.902;-2.522;9.585;4.56;0.378;10.158;4.984;0.39;10.82;4.705;1.436;9.773;4.851;0.941;5.462;4.095;0.39;10.82;4.705;0.519;13.097;5.343;-0.085;14.612;6.049;-1.461;14.688;5.759;-0.215;5.741;6.446;0.388;0.994;5.87;0.941;5.462;4.095;0.724;3.211;-0.195;0.378;10.158;4.984;1.436;9.773;4.851
-1.422;14.799;6.358;-2.181;12.136;5.627;-0.662;9.962;5.564;-0.208;5.727;6.687;0.427;10.275;5.578;-0.662;9.962;5.564;2.433;14.938;6.165;3.166;12.148;5.55;0.55;13.218;5.888;0.531;15.357;5.803;1.108;14.747;6.601;2.433;14.938;6.165;0.531;15.357;5.803;0.652;16.104;7.359;3.166;12.148;5.55;3.128;9.739;6.065;-2.181;12.136;5.627;-2.471;9.645;5.399;0.427;10.275;5.578;0.431;10.931;5.284;1.491;9.903;5.462;1.068;5.522;5.277;0.431;10.931;5.284;0.55;13.218;5.888;-0.036;14.737;6.6;-1.422;14.799;6.358;-0.208;5.727;6.687;0.385;1.016;5.866;1.068;5.522;5.277;0.909;3.318;0.961;0.427;10.275;5.578;1.491;9.903;5.462
-1.379;14.943;6.929;-2.152;12.243;6.364;-0.608;10.078;6.118;-0.207;5.755;6.867;0.473;10.419;6.134;-0.608;10.078;6.118;2.465;15.08;6.598;3.148;12.298;5.894;0.575;13.363;6.401;0.556;15.501;6.304;1.158;14.895;7.087;2.465;15.08;6.598;0.556;15.501;6.304;0.716;16.246;7.858;3.148;12.298;5.894;3.144;9.874;6.331;-2.152;12.243;6.364;-2.416;9.739;6.301;0.473;10.419;6.134;0.463;11.068;5.826;1.547;10.072;6.035;1.279;5.699;6.491;0.463;11.068;5.826;0.575;13.363;6.401;0.014;14.887;7.123;-1.379;14.943;6.929;-0.207;5.755;6.867;0.385;1.081;5.857;1.279;5.699;6.491;1.205;3.233;2.316;0.473;10.419;6.134;1.547;10.072;6.035
-1.331;15.061;7.495;-2.12;12.332;7.129;-0.558;10.161;6.676;-0.205;5.786;7.039;0.514;10.526;6.689;-0.558;10.161;6.676;2.5;15.188;7.039;3.138;12.419;6.246;0.601;13.471;6.916;0.587;15.609;6.805;1.21;15.006;7.573;2.5;15.188;7.039;0.587;15.609;6.805;0.784;16.353;8.355;3.138;12.419;6.246;3.165;9.982;6.602;-2.12;12.332;7.129;-2.344;9.827;7.272;0.514;10.526;6.689;0.491;11.169;6.369;1.596;10.201;6.6;1.505;5.937;7.7;0.491;11.169;6.369;0.601;13.471;6.916;0.067;15.002;7.644;-1.331;15.061;7.495;-0.205;5.786;7.039;0.386;1.152;5.854;1.505;5.937;7.7;1.461;2.845;3.965;0.514;10.526;6.689;1.596;10.201;6.6
-1.27;15.113;8.061;-2.087;12.371;7.923;-0.517;10.18;7.222;-0.205;5.787;7.212;0.552;10.554;7.229;-0.517;10.18;7.222;2.545;15.22;7.495;3.149;12.468;6.621;0.637;13.501;7.437;0.631;15.638;7.311;1.272;15.037;8.066;2.545;15.22;7.495;0.631;15.638;7.311;0.864;16.384;8.855;3.149;12.468;6.621;3.203;10.021;6.898;-2.087;12.371;7.923;-2.265;9.889;8.31;0.552;10.554;7.229;0.522;11.195;6.906;1.636;10.238;7.137;1.718;6.116;8.687;0.522;11.195;6.906;0.637;13.501;7.437;0.132;15.04;8.168;-1.27;15.113;8.061;-0.205;5.787;7.212;0.373;1.199;5.856;1.718;6.116;8.687;1.626;2.299;5.697;0.552;10.554;7.229;1.636;10.238;7.137
-1.213;15.106;8.597;-2.034;12.363;8.648;-0.467;10.153;7.761;-0.192;5.771;7.412;0.602;10.529;7.769;-0.467;10.153;7.761;2.594;15.2;7.984;3.173;12.468;7.035;0.681;13.478;7.958;0.681;15.614;7.821;1.328;15.015;8.572;2.594;15.2;7.984;0.681;15.614;7.821;0.93;16.364;9.361;3.173;12.468;7.035;3.249;10.012;7.217;-2.034;12.363;8.648;-2.148;9.92;9.253;0.602;10.529;7.769;0.572;11.169;7.444;1.687;10.213;7.68;1.928;6.242;9.571;0.572;11.169;7.444;0.681;13.478;7.958;0.19;15.022;8.687;-1.213;15.106;8.597;-0.192;5.771;7.412;0.375;1.245;5.857;1.928;6.242;9.571;1.859;1.842;7.535;0.602;10.529;7.769;1.687;10.213;7.68
