right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z
-1.746;14.925;0.271;-2.563;12.187;0.07;-1.081;10.017;-0.065;-1.012;5.646;0.477;0.0;10.351;0.0;-1.081;10.017;-0.065;2.151;15.127;0.028;2.42;12.193;-0.098;0.189;13.346;-0.113;0.237;15.452;-0.493;0.8;14.94;0.38;2.151;15.127;0.028;0.237;15.452;-0.493;0.389;16.352;0.977;2.42;12.193;-0.098;2.574;9.734;-0.047;-2.563;12.187;0.07;-2.66;9.75;0.7;0.0;10.351;0.0;0.011;10.993;-0.323;1.075;9.995;-0.034;0.763;5.641;-0.622;0.011;10.993;-0.323;0.189;13.346;-0.113;-0.344;14.967;0.383;-1.746;14.925;0.271;-1.012;5.646;0.477;-1.006;1.421;-1.84;0.763;5.641;-0.622;0.331;1.141;-2.378;0.0;10.351;0.0;1.075;9.995;-0.034
-1.675;14.902;0.362;-2.492;12.167;0.13;-1.034;9.991;0.01;-0.956;5.669;0.856;0.047;10.325;0.087;-1.034;9.991;0.01;2.228;15.073;0.222;2.491;12.141;0.034;0.256;13.314;0.011;0.33;15.424;-0.34;0.868;14.896;0.539;2.228;15.073;0.222;0.33;15.424;-0.34;0.455;16.316;1.137;2.491;12.141;0.034;2.638;9.682;0.02;-2.492;12.167;0.13;-2.603;9.733;0.769;0.047;10.325;0.087;0.062;10.966;-0.237;1.122;9.967;0.065;0.784;5.625;-0.592;0.062;10.966;-0.237;0.256;13.314;0.011;-0.276;14.933;0.516;-1.675;14.902;0.362;-0.956;5.669;0.856;-0.971;1.539;-1.626;0.784;5.625;-0.592;0.315;1.142;-2.38;0.047;10.325;0.087;1.122;9.967;0.065
-1.62;14.896;0.468;-2.426;12.161;0.196;-0.991;9.99;0.113;-0.896;5.74;1.267;0.088;10.322;0.201;-0.991;9.99;0.113;2.285;15.051;0.453;2.564;12.125;0.214;0.311;13.306;0.164;0.403;15.42;-0.158;0.915;14.879;0.729;2.285;15.051;0.453;0.403;15.42;-0.158;0.499;16.305;1.326;2.564;12.125;0.214;2.728;9.668;0.141;-2.426;12.161;0.196;-2.548;9.728;0.837;0.088;10.322;0.201;0.108;10.963;-0.123;1.163;9.964;0.192;0.845;5.632;-0.536;0.108;10.963;-0.123;0.311;13.306;0.164;-0.228;14.921;0.675;-1.62;14.896;0.468;-0.896;5.74;1.267;-0.889;1.639;-1.264;0.845;5.632;-0.536;0.384;1.158;-2.348;0.088;10.322;0.201;1.163;9.964;0.192
-1.561;14.906;0.604;-2.362;12.176;0.275;-0.958;9.997;0.251;-0.816;5.84;1.702;0.121;10.329;0.345;-0.958;9.997;0.251;2.341;15.023;0.708;2.617;12.099;0.43;0.359;13.306;0.346;0.479;15.423;0.053;0.963;14.866;0.946;2.341;15.023;0.708;0.479;15.423;0.053;0.555;16.303;1.541;2.617;12.099;0.43;2.781;9.645;0.305;-2.362;12.176;0.275;-2.506;9.74;0.9;0.121;10.329;0.345;0.142;10.97;0.021;1.196;9.97;0.342;0.853;5.659;-0.491;0.142;10.97;0.021;0.359;13.306;0.346;-0.178;14.92;0.863;-1.561;14.906;0.604;-0.816;5.84;1.702;-0.731;1.662;-0.698;0.853;5.659;-0.491;0.348;1.22;-2.377;0.121;10.329;0.345;1.196;9.97;0.342
-1.518;14.908;0.78;-2.322;12.184;0.412;-0.925;9.998;0.416;-0.744;5.946;2.134;0.154;10.33;0.516;-0.925;9.998;0.416;2.38;15.012;0.969;2.675;12.091;0.677;0.403;13.3;0.555;0.529;15.42;0.283;0.997;14.855;1.179;2.38;15.012;0.969;0.529;15.42;0.283;0.584;16.292;1.777;2.675;12.091;0.677;2.848;9.638;0.544;-2.322;12.184;0.412;-2.49;9.747;1.029;0.154;10.33;0.516;0.178;10.971;0.192;1.229;9.971;0.519;0.88;5.681;-0.417;0.178;10.971;0.192;0.403;13.3;0.555;-0.142;14.909;1.078;-1.518;14.908;0.78;-0.744;5.946;2.134;-0.544;1.597;0.068;0.88;5.681;-0.417;0.349;1.275;-2.372;0.154;10.33;0.516;1.229;9.971;0.519
-1.483;14.885;1.001;-2.289;12.173;0.55;-0.894;9.978;0.605;-0.68;6.029;2.545;0.185;10.31;0.709;-0.894;9.978;0.605;2.41;14.988;1.236;2.734;12.069;0.964;0.441;13.273;0.786;0.563;15.396;0.537;1.026;14.822;1.43;2.41;14.988;1.236;0.563;15.396;0.537;0.607;16.258;2.037;2.734;12.069;0.964;2.908;9.613;0.88;-2.289;12.173;0.55;-2.49;9.718;1.075;0.185;10.31;0.709;0.21;10.95;0.384;1.26;9.95;0.715;0.904;5.686;-0.332;0.21;10.95;0.384;0.441;13.273;0.786;-0.112;14.875;1.321;-1.483;14.885;1.001;-0.68;6.029;2.545;-0.359;1.485;0.973;0.904;5.686;-0.332;0.348;1.32;-2.366;0.185;10.31;0.709;1.26;9.95;0.715
-1.448;14.838;1.258;-2.261;12.142;0.736;-0.861;9.933;0.829;-0.629;6.076;2.944;0.218;10.264;0.934;-0.861;9.933;0.829;2.442;14.944;1.527;2.798;12.026;1.291;0.481;13.221;1.047;0.598;15.346;0.817;1.057;14.766;1.708;2.442;14.944;1.527;0.598;15.346;0.817;0.635;16.202;2.32;2.798;12.026;1.291;2.96;9.568;1.29;-2.261;12.142;0.736;-2.504;9.669;1.151;0.218;10.264;0.934;0.244;10.905;0.609;1.293;9.904;0.942;0.928;5.673;-0.225;0.244;10.905;0.609;0.481;13.221;1.047;-0.08;14.816;1.592;-1.448;14.838;1.258;-0.629;6.076;2.944;-0.196;1.361;2.05;0.928;5.673;-0.225;0.348;1.359;-2.363;0.218;10.264;0.934;1.293;9.904;0.942
-1.424;14.769;1.561;-2.243;12.087;0.977;-0.829;9.868;1.099;-0.579;6.084;3.34;0.25;10.199;1.199;-0.829;9.868;1.099;2.464;14.891;1.837;2.864;11.974;1.657;0.513;13.15;1.342;0.618;15.277;1.125;1.081;14.695;2.012;2.464;14.891;1.837;0.618;15.277;1.125;0.654;16.128;2.631;2.864;11.974;1.657;3.013;9.518;1.769;-2.243;12.087;0.977;-2.527;9.601;1.264;0.25;10.199;1.199;0.274;10.84;0.875;1.325;9.84;1.202;0.951;5.645;-0.088;0.274;10.84;0.875;0.513;13.15;1.342;-0.057;14.739;1.897;-1.424;14.769;1.561;-0.579;6.084;3.34;-0.063;1.296;3.164;0.951;5.645;-0.088;0.349;1.397;-2.348;0.25;10.199;1.199;1.325;9.84;1.202
-1.408;14.692;1.916;-2.23;12.025;1.272;-0.801;9.794;1.424;-0.524;6.065;3.753;0.279;10.126;1.513;-0.801;9.794;1.424;2.479;14.828;2.168;2.921;11.914;2.054;0.537;13.072;1.68;0.627;15.2;1.469;1.099;14.618;2.352;2.479;14.828;2.168;0.627;15.2;1.469;0.671;16.045;2.979;2.921;11.914;2.054;3.051;9.466;2.296;-2.23;12.025;1.272;-2.556;9.531;1.414;0.279;10.126;1.513;0.299;10.767;1.189;1.354;9.767;1.503;0.968;5.616;0.081;0.299;10.767;1.189;0.537;13.072;1.68;-0.039;14.655;2.244;-1.408;14.692;1.916;-0.524;6.065;3.753;0.05;1.299;4.178;0.968;5.616;0.081;0.352;1.46;-2.341;0.279;10.126;1.513;1.354;9.767;1.503
-1.403;14.61;2.279;-2.214;11.95;1.594;-0.775;9.716;1.789;-0.457;6.009;4.146;0.305;10.049;1.864;-0.775;9.716;1.789;2.483;14.767;2.52;2.969;11.858;2.465;0.553;12.994;2.043;0.626;15.122;1.827;1.106;14.546;2.709;2.483;14.767;2.52;0.626;15.122;1.827;0.676;15.972;3.333;2.969;11.858;2.465;3.085;9.424;2.822;-2.214;11.95;1.594;-2.575;9.457;1.609;0.305;10.049;1.864;0.321;10.691;1.541;1.38;9.691;1.84;0.979;5.585;0.297;0.321;10.691;1.541;0.553;12.994;2.043;-0.034;14.574;2.605;-1.403;14.61;2.279;-0.457;6.009;4.146;0.18;1.303;4.964;0.979;5.585;0.297;0.358;1.548;-2.317;0.305;10.049;1.864;1.38;9.691;1.84
