0.0;10.351;0.0;-0.033;10.996;-0.314;-0.896;5.604;0.629;-0.865;1.421;-1.764;0.722;14.943;0.451;2.061;15.098;0.045;-2.614;12.228;0.224;-2.802;9.785;0.807;-1.81;14.976;0.168;-2.614;12.228;0.224;-0.421;14.972;0.398;-1.81;14.976;0.168;0.0;10.351;0.0;1.094;10.061;-0.057;2.061;15.098;0.045;2.576;12.225;-0.381;-0.033;10.996;-0.314;0.131;13.345;-0.056;-1.06;9.953;-0.052;-0.896;5.604;0.629;0.0;10.351;0.0;-1.06;9.953;-0.052;0.131;13.345;-0.056;0.204;15.447;-0.454;1.094;10.061;-0.057;0.738;5.698;-0.545;2.576;12.225;-0.381;2.605;9.813;0.116;0.204;15.447;-0.454;0.236;16.346;1.025;0.738;5.698;-0.545;0.244;1.178;-2.231
0.032;10.357;0.133;0.004;11.004;-0.181;-0.819;5.674;1.039;-0.82;1.545;-1.445;0.758;14.923;0.702;2.099;15.081;0.305;-2.581;12.229;0.348;-2.79;9.772;0.863;-1.768;14.976;0.381;-2.581;12.229;0.348;-0.384;14.959;0.637;-1.768;14.976;0.381;0.032;10.357;0.133;1.123;10.058;0.073;2.099;15.081;0.305;2.624;12.22;-0.179;0.004;11.004;-0.181;0.166;13.345;0.136;-1.031;9.969;0.083;-0.819;5.674;1.039;0.032;10.357;0.133;-1.031;9.969;0.083;0.166;13.345;0.136;0.252;15.459;-0.191;1.123;10.058;0.073;0.759;5.704;-0.488;2.624;12.22;-0.179;2.636;9.81;0.334;0.252;15.459;-0.191;0.268;16.336;1.3;0.759;5.704;-0.488;0.246;1.209;-2.233
0.053;10.365;0.28;0.033;11.011;-0.033;-0.76;5.776;1.493;-0.743;1.577;-0.87;0.794;14.902;0.953;2.139;15.062;0.567;-2.553;12.241;0.469;-2.796;9.771;0.899;-1.727;14.98;0.602;-2.553;12.241;0.469;-0.347;14.947;0.879;-1.727;14.98;0.602;0.053;10.365;0.28;1.141;10.052;0.219;2.139;15.062;0.567;2.675;12.205;0.067;0.033;11.011;-0.033;0.2;13.345;0.336;-1.014;9.988;0.229;-0.76;5.776;1.493;0.053;10.365;0.28;-1.014;9.988;0.229;0.2;13.345;0.336;0.3;15.467;0.071;1.141;10.052;0.219;0.774;5.71;-0.422;2.675;12.205;0.067;2.659;9.811;0.647;0.3;15.467;0.071;0.305;16.324;1.574;0.774;5.71;-0.422;0.251;1.244;-2.237
0.071;10.374;0.465;0.059;11.022;0.154;-0.703;5.904;1.977;-0.589;1.553;-0.091;0.822;14.886;1.235;2.168;15.063;0.861;-2.536;12.25;0.631;-2.821;9.77;0.964;-1.695;14.979;0.861;-2.536;12.25;0.631;-0.319;14.933;1.155;-1.695;14.979;0.861;0.071;10.374;0.465;1.156;10.05;0.409;2.168;15.063;0.861;2.732;12.214;0.345;0.059;11.022;0.154;0.231;13.347;0.573;-1.0;10.009;0.409;-0.703;5.904;1.977;0.071;10.374;0.465;-1.0;10.009;0.409;0.231;13.347;0.573;0.333;15.475;0.365;1.156;10.05;0.409;0.786;5.723;-0.324;2.732;12.214;0.345;2.689;9.845;1.018;0.333;15.475;0.365;0.332;16.311;1.88;0.786;5.723;-0.324;0.262;1.296;-2.232
0.095;10.353;0.663;0.09;11.002;0.356;-0.669;6.015;2.455;-0.461;1.459;0.9;0.854;14.837;1.542;2.201;15.038;1.185;-2.515;12.23;0.805;-2.854;9.742;1.014;-1.658;14.941;1.147;-2.515;12.23;0.805;-0.286;14.884;1.456;-1.658;14.941;1.147;0.095;10.353;0.663;1.176;10.018;0.608;2.201;15.038;1.185;2.808;12.196;0.684;0.09;11.002;0.356;0.271;13.315;0.834;-0.98;9.999;0.603;-0.669;6.015;2.455;0.095;10.353;0.663;-0.98;9.999;0.603;0.271;13.315;0.834;0.37;15.448;0.687;1.176;10.018;0.608;0.799;5.71;-0.228;2.808;12.196;0.684;2.729;9.871;1.495;0.37;15.448;0.687;0.361;16.261;2.214;0.799;5.71;-0.228;0.265;1.332;-2.243
0.108;10.303;0.935;0.111;10.954;0.63;-0.671;6.092;2.951;-0.36;1.366;2.064;0.879;14.766;1.889;2.224;14.991;1.539;-2.501;12.194;1.018;-2.892;9.707;1.097;-1.629;14.884;1.475;-2.501;12.194;1.018;-0.261;14.813;1.799;-1.629;14.884;1.475;0.108;10.303;0.935;1.187;9.96;0.888;2.224;14.991;1.539;2.875;12.151;1.081;0.111;10.954;0.63;0.301;13.257;1.148;-0.969;9.959;0.862;-0.671;6.092;2.951;0.108;10.303;0.935;-0.969;9.959;0.862;0.301;13.257;1.148;0.398;15.393;1.044;1.187;9.96;0.888;0.797;5.675;-0.053;2.875;12.151;1.081;2.76;9.897;2.069;0.398;15.393;1.044;0.383;16.19;2.58;0.797;5.675;-0.053;0.279;1.37;-2.224
0.128;10.238;1.217;0.134;10.891;0.918;-0.655;6.14;3.419;-0.233;1.342;3.261;0.907;14.675;2.261;2.244;14.93;1.904;-2.49;12.134;1.312;-2.921;9.653;1.289;-1.601;14.802;1.855;-2.49;12.134;1.312;-0.234;14.719;2.18;-1.601;14.802;1.855;0.128;10.238;1.217;1.206;9.891;1.168;2.244;14.93;1.904;2.948;12.096;1.488;0.134;10.891;0.918;0.33;13.181;1.49;-0.95;9.898;1.141;-0.655;6.14;3.419;0.128;10.238;1.217;-0.95;9.898;1.141;0.33;13.181;1.49;0.417;15.32;1.433;1.206;9.891;1.168;0.796;5.636;0.103;2.948;12.096;1.488;2.823;9.928;2.651;0.417;15.32;1.433;0.408;16.092;2.982;0.796;5.636;0.103;0.263;1.416;-2.224
0.139;10.15;1.572;0.147;10.805;1.278;-0.656;6.132;3.891;-0.134;1.366;4.38;0.907;14.577;2.661;2.242;14.844;2.302;-2.481;12.061;1.602;-2.941;9.589;1.462;-1.598;14.71;2.243;-2.481;12.061;1.602;-0.234;14.619;2.578;-1.598;14.71;2.243;0.139;10.15;1.572;1.216;9.802;1.527;2.242;14.844;2.302;2.97;12.003;1.983;0.147;10.805;1.278;0.335;13.089;1.875;-0.94;9.811;1.487;-0.656;6.132;3.891;0.139;10.15;1.572;-0.94;9.811;1.487;0.335;13.089;1.875;0.416;15.228;1.838;1.216;9.802;1.527;0.802;5.582;0.336;2.97;12.003;1.983;2.815;9.943;3.324;0.416;15.228;1.838;0.408;15.986;3.394;0.802;5.582;0.336;0.299;1.479;-2.199
0.149;10.05;1.973;0.157;10.708;1.683;-0.627;6.078;4.357;-0.036;1.386;5.281;0.929;14.458;3.117;2.263;14.718;2.75;-2.457;11.987;1.951;-2.948;9.53;1.684;-1.574;14.607;2.699;-2.457;11.987;1.951;-0.212;14.504;3.039;-1.574;14.607;2.699;0.149;10.05;1.973;1.225;9.7;1.92;2.263;14.718;2.75;2.987;11.872;2.466;0.157;10.708;1.683;0.351;12.984;2.31;-0.931;9.716;1.891;-0.627;6.078;4.357;0.149;10.05;1.973;-0.931;9.716;1.891;0.351;12.984;2.31;0.438;15.123;2.306;1.225;9.7;1.92;0.791;5.515;0.615;2.987;11.872;2.466;2.825;9.875;3.899;0.438;15.123;2.306;0.436;15.864;3.87;0.791;5.515;0.615;0.3;1.568;-2.159
0.162;9.999;2.431;0.17;10.658;2.145;-0.588;6.011;4.791;0.029;1.334;5.772;0.934;14.398;3.61;2.27;14.647;3.244;-2.428;11.942;2.348;-2.931;9.502;1.979;-1.566;14.545;3.176;-2.428;11.942;2.348;-0.207;14.443;3.528;-1.566;14.545;3.176;0.162;9.999;2.431;1.236;9.645;2.363;2.27;14.647;3.244;3.0;11.799;3.008;0.17;10.658;2.145;0.36;12.929;2.79;-0.92;9.669;2.36;-0.588;6.011;4.791;0.162;9.999;2.431;-0.92;9.669;2.36;0.36;12.929;2.79;0.443;15.069;2.802;1.236;9.645;2.363;0.807;5.486;0.978;3.0;11.799;3.008;2.849;9.832;4.484;0.443;15.069;2.802;0.439;15.8;4.371;0.807;5.486;0.978;0.358;1.741;-2.069
